Family,Genus,Species,verbatimSpecies,WS_L_Fem,WS_U_Fem,WS_L_Mal,WS_U_Mal,WS_L,WS_U,FW_L_Fem,FW_U_Fem,FW_L_Mal,FW_U_Mal,FW_L,FW_U,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,FlightDuration,DiapauseStage,Voltinism,OvipositionStyle,CanopyAffinity,EdgeAffinity,MoistureAffinity,DisturbanceAffinity,NumberOfHostplantFamilies,SoleHostplantFamily,PrimaryHostplantFamily,SecondaryHostplantFamily,EqualHostplantFamily,NumberOfHostplantAccounts,DateCreated
Hesperiidae,Abantis,Abantis leucogaster,Abantis leucogaster,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,3,NA,NA,NA,Mixed canopy (closed affinity),NA,NA,Disturbance-associated (weak),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis lucretia,Abantis lucretia,NA,NA,NA,3.5,NA,2,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,0,1,NA,NA,NA,Closed canopy,Edge-associated (strong),NA,Disturbance-associated (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis meru,Abantis meru,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed canopy (open affinity),Edge-associated (strong),NA,Disturbance-associated (strong),3,,,,,1,3/9/2022 15:23
Hesperiidae,Abantis,Abantis nigeriana,Abantis nigeriana,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (weak),Xeric-associated (weak),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis paradisea,Abantis paradisea,NA,5,NA,4.2,3.259333333,3.748,NA,NA,NA,NA,1.778,2.54,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,M,S,Canopy generalist,Edge-avoidant (strong),Xeric-associated (strong),NA,5,,Malvaceae,,,8,3/9/2022 15:23
Hesperiidae,Abantis,Abantis pseudonigeriana,Abantis pseudonigeriana,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis rubra,Abantis rubra,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,0,0,0,0,0,1,NA,U,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis tanobia,Abantis tanobia,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,0,0,0,0,0,0,0,0,0,1,3,NA,M,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis tettensis,Abantis tettensis,NA,4,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,0,0,0,0,1,0,1,1,7,NA,U,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Both,NA,1,Malvaceae,,,,1,3/9/2022 15:23
Hesperiidae,Abantis,Abantis venosa,Abantis venosa,NA,4.1,3.8,3.9,2.689,3.662,NA,NA,NA,NA,1.778,2.286,1,1,1,1,1,1,1,1,1,1,1,1,12,NA,M,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (weak),NA,2,,Malvaceae,Fabaceae,,2,3/9/2022 15:23
Hesperiidae,Abantis,Abantis vidua,Abantis vidua,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,1,NA,NA,NA,Mixed canopy (open affinity),NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Abantis,Abantis zambesiaca,Abantis zambesiaca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,0,0,1,1,1,1,0,9,NA,NA,NA,Mixed canopy (open affinity),Edge-avoidant (strong),Xeric-associated (strong),NA,1,Fabaceae,,,,1,3/9/2022 15:23
Hesperiidae,Abraximorpha,Abraximorpha davidii,Abraximorpha davidii,NA,NA,NA,NA,3.9,4.5,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,0,0,0,6,L,M,S,Mixed canopy (open affinity),Edge-associated (strong),No evidence for moisture association,Disturbance-associated (strong),2,,Rosaceae,Lauraceae,,2,3/9/2022 15:23
Hesperiidae,Abraximorpha,Abraximorpha esta,Abraximorpha esta,NA,NA,NA,NA,3.9,4.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,S,NA,NA,NA,NA,2,,Rosaceae,Celastraceae,Yes,1,3/9/2022 15:23
Hesperiidae,Abraximorpha,Abraximorpha esta,Abraximorpha davidii,NA,NA,NA,NA,3.9,4.5,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,0,0,0,6,L,M,S,Mixed canopy (open affinity),Edge-associated (strong),No evidence for moisture association,Disturbance-associated (strong),2,,Rosaceae,Lauraceae,,2,3/9/2022 15:23
Hesperiidae,Acada,Acada annulifer,Acada annulifer,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed canopy,Edge-associated (strong),NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Acada,Acada biseriata,Acada biseriata,NA,NA,NA,NA,NA,2.1985,NA,NA,NA,NA,1.27,1.397,0,0,0,0,1,0,1,1,0,0,0,1,4,NA,NA,NA,Canopy generalist,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Fabaceae,,,,1,3/9/2022 15:23
Hesperiidae,Acerbas,Acerbas anthea,Acerbas anthea,NA,1.7,NA,1.8,3.2,3.4,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,0,0,0,0,0,0,4,NA,NA,NA,NA,NA,NA,NA,1,Arecaceae,,,,1,3/9/2022 15:23
Hesperiidae,Acerbas,Acerbas duris,Acerbas duris,NA,1.8,NA,1.7,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,1,0,0,0,0,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Acerbas,Acerbas martini,Acerbas martini,2.2,2.3,2.1,2.2,4,4.5,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,NA,NA,Closed canopy,NA,NA,NA,1,Arecaceae,,,,1,3/9/2022 15:23
Hesperiidae,Acerbas,Acerbas selta,Acerbas selta,NA,2.1,2,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Achalarus,Achalarus albociliatus,Achalarus albociliatus,NA,NA,NA,NA,4.3,4.6,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,0,1,1,1,1,6,NA,M,NA,Mixed canopy (closed affinity),NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Achalarus,Achalarus casica,Achalarus casica,NA,NA,NA,NA,3.7,5,NA,NA,NA,NA,NA,NA,0,0,1,1,0,0,0,0,0,1,0,0,3,NA,B,NA,Mixed canopy (open affinity),NA,Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Achalarus,Achalarus lyciades,Achalarus lyciades,NA,NA,NA,NA,4,5.725,NA,NA,NA,NA,NA,NA,0,0,0,1,1,1,1,1,1,1,0,0,7,PL,B,S,Canopy generalist,Edge-associated (strong),Xeric-associated (strong),Disturbance-associated (strong),1,Fabaceae,,,,3,3/9/2022 15:23
Hesperiidae,Achalarus,Achalarus toxeus,Achalarus toxeus,NA,NA,NA,NA,4,5,NA,NA,NA,NA,NA,NA,0,1,0,0,0,0,0,0,0,0,1,0,2,NA,M,NA,Canopy generalist,Edge-associated (strong),Mesic-associated (strong),Disturbance-associated (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Achlyodes,Achlyodes busirus,Achlyodes busirus,NA,NA,NA,NA,NA,6.066666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Acleros,Acleros bobiri,Acleros bobiri,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Acleros,Acleros mackenii,Acleros mackenii,NA,NA,NA,NA,2.35,2.09925,NA,NA,NA,NA,1.27,1.397,1,0,1,1,1,0,0,0,0,0,0,0,4,NA,M,S,Mixed canopy (closed affinity),Edge-associated (strong),Mesic-associated (strong),Disturbance-associated (strong),4,,,,,2,3/9/2022 15:23
Hesperiidae,Acleros,Acleros neavei,Acleros neavei,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Acleros,Acleros nigrapex,Acleros nigrapex,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Closed canopy,NA,NA,Disturbance-avoidant (strong),NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Acleros,Acleros ploetzi,Acleros ploetzi,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,NA,NA,0,1,0,0,1,0,1,1,0,0,0,0,4,NA,NA,NA,Canopy generalist,Edge-associated (strong),NA,Disturbance-associated (strong),1,Fabaceae,,,,1,3/9/2022 15:23
Hesperiidae,Adlerodea,Adlerodea lemba,Adlerodea lemba,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Adlerodea,Adlerodea mineira,Adlerodea mineira,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Adlerodea,Adlerodea petrovna,Adlerodea petrovna,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Adopaeoides,Adopaeoides prittwitzi,Adopaeoides prittwitzi,NA,NA,NA,NA,2.2,2.8,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,1,0,0,0,2,NA,B,NA,Open canopy,NA,Mesic-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus bandaishanus,Aeromachus bandaishanus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,1,1,0,0,0,0,3,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus dubius,Aeromachus dubius,NA,NA,NA,NA,2.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus inachus,Aeromachus inachus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,0,0,1,1,1,1,1,1,1,8,L,M,S,Canopy generalist,Edge-associated (strong),Mesic-associated (strong),Disturbance-associated (strong),1,Poaceae,,,,2,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus jhora,Aeromachus jhora,NA,NA,NA,NA,1,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,U,S,Open canopy,NA,NA,Disturbance-associated (strong),1,Poaceae,,,,1,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus matudai,Aeromachus matudai,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,0,0,0,1,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus musca,Aeromachus musca,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,0,0,0,0,0,0,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus plumbeola,Aeromachus plumbeola,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,0,1,0,0,0,0,0,0,3,NA,NA,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus pygmaeus,Aeromachus pygmaeus,NA,NA,NA,NA,1.9,2.1,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,0,0,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aeromachus,Aeromachus stigmata,Aeromachus stigmata,NA,NA,NA,NA,2.3,2.6,NA,NA,NA,NA,NA,NA,0,0,1,0,1,1,1,1,1,1,0,0,7,NA,NA,NA,Open canopy,NA,Mesic-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aethilla,Aethilla echina,Aethilla echina,NA,NA,NA,NA,NA,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aethilla,Aethilla haber,Aethilla haber,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aethilla,Aethilla melas,Aethilla melas,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus alliae,Agathymus alliae,NA,NA,NA,NA,5.6,6.1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,2,NA,U,NA,Mixed canopy (open affinity),NA,Xeric-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus aryxna,Agathymus aryxna,NA,NA,NA,NA,5,6.1,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,1,1,0,0,1,0,3,NA,U,NA,NA,NA,Mesic-associated (strong),NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus baueri,Agathymus baueri,NA,NA,NA,NA,5.3,5.8,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,2,NA,U,NA,Open canopy,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus comstocki,Agathymus comstocki,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,1,0,0,0,2,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Asparagaceae,,,,1,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus dawsoni,Agathymus dawsoni,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,2,NA,NA,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Asparagaceae,,,,1,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus evansi,Agathymus evansi,NA,NA,NA,NA,4.5,5.8,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,0,2,NA,U,NA,Mixed canopy (open affinity),NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus mariae,Agathymus mariae,NA,NA,NA,NA,4.5,5,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,0,1,0,2,NA,U,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Asparagaceae,,,,1,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus neumoegeni,Agathymus neumoegeni,NA,NA,NA,NA,5,6,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,0,0,2,NA,U,NA,NA,NA,NA,NA,1,Asparagaceae,,,,1,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus polingi,Agathymus polingi,NA,NA,NA,NA,4.1,4.4,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,1,1,0,2,NA,U,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus remingtoni,Agathymus remingtoni,NA,NA,NA,NA,5,5.5,NA,NA,NA,NA,NA,NA,0,0,0,1,0,0,0,0,1,1,0,0,3,NA,U,NA,Open canopy,Edge-avoidant (strong),Xeric-associated (strong),NA,1,Asparagaceae,,,,1,3/9/2022 15:23
Hesperiidae,Agathymus,Agathymus stephensi,Agathymus stephensi,NA,NA,NA,NA,5.1,5.6,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,1,1,1,0,3,NA,U,NA,Mixed canopy (open affinity),Edge-avoidant (weak),Xeric-associated (strong),NA,1,Asparagaceae,,,,1,3/9/2022 15:23
Hesperiidae,Aguna,Aguna albistria,Aguna albistria,NA,NA,NA,NA,NA,4.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna asander,Aguna asander,NA,NA,NA,NA,4.116666667,4.914285714,NA,NA,NA,NA,NA,NA,1,0,0,1,1,1,1,1,0,1,1,1,9,NA,M,NA,Canopy generalist,Edge-associated (weak),Both,Seen near and away from disturbed habitat,1,Fabaceae,,,,1,3/9/2022 15:23
Hesperiidae,Aguna,Aguna aurunce,Aguna aurunce,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna camagura,Aguna camagura,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna cirrus,Aguna cirrus,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna claxon,Aguna claxon,NA,NA,NA,NA,4.4,5.05,NA,NA,NA,NA,NA,NA,0,0,0,0,0,1,0,0,0,1,0,0,2,NA,NA,NA,NA,NA,NA,NA,1,Fabaceae,,,,1,3/9/2022 15:23
Hesperiidae,Aguna,Aguna coeloides,Aguna coeloides,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna coelus,Aguna coelus,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna ganna,Aguna ganna,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna glaphyrus,Aguna glaphyrus,NA,NA,NA,NA,NA,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna latimacula,Aguna latimacula,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna longicauda,Aguna longicauda,NA,NA,NA,NA,NA,4.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna megaeles,Aguna megaeles,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna mesodentata,Aguna mesodentata,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3/9/2022 15:23
Hesperiidae,Aguna,Aguna metophis,Aguna metophis,NA,NA,NA,NA,3.6,4.75,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,1,0,0,1,0,2,NA,NA,NA,Mixed canopy (open affinity),NA,NA,NA,1,Fabaceae,,,,1,3/9/2022 15:23
